,drug_co,occurs
638,"('morphine', 'sedatives_hypnotics')",7
639,"('nordiazapam', 'thc_aggregate')",7
640,"('gabapentin', 'paroxetine')",7
641,"('miscellaneous', 'narcotics')",7
642,"('miscellaneous', 'oxazepam')",7
643,"('hydromorphone', 'mda')",7
644,"('analgesics', 'dextromethorphan')",7
645,"('analgesics', 'otc_cold_remedies')",7
646,"('analgesics', 'tramadol')",7
647,"('analgesics', 'tramadol_aggregate')",7
648,"('barbituates', 'dextromethorphan')",7
649,"('barbituates', 'otc_cold_remedies')",7
650,"('dextromethorphan', 'hydrocodone')",7
651,"('gabapentin', 'stimulants')",7
652,"('hydrocodone', 'otc_cold_remedies')",7
653,"('stimulants', 'tramadol')",7
654,"('stimulants', 'tramadol_aggregate')",7
655,"('cardiovascular', 'hydromorphone')",7
656,"('antihistamines', 'diltiazem')",7
657,"('mda', 'methamphetamine')",7
658,"('anticonvulsants', 'cardiovascular')",7
659,"('anticonvulsants', 'oxcarbazepine')",7
660,"('antidepressants', 'antipsycotics')",7
661,"('antidepressants', 'oxcarbazepine')",7
662,"('antipsycotics', 'cardiovascular')",7
663,"('antipsycotics', 'hydrocodone')",7
664,"('benzodiazepine', 'trazodone')",7
665,"('cardiovascular', 'dextromethorphan')",7
666,"('cardiovascular', 'otc_cold_remedies')",7
667,"('dextromethorphan', 'hydromorphone')",7
668,"('dextromethorphan', 'oxcarbazepine')",7
669,"('eddp', 'oxcarbazepine')",7
670,"('hydromorphone', 'otc_cold_remedies')",7
671,"('otc_cold_remedies', 'oxcarbazepine')",7
672,"('6_mam', 'paroxetine')",7
673,"('antidepressants', 'cocaine')",7
674,"('antidepressants', 'nordiazapam')",7
675,"('codeine', 'paroxetine')",7
676,"('heroin_from_combo', 'paroxetine')",7
677,"('mda', 'methadone')",7
678,"('antidepressants', 'gastrointestionals')",7
679,"('antidepressants', 'promethazine')",7
680,"('gastrointestionals', 'opioids')",7
681,"('gastrointestionals', 'promethazine')",7
682,"('opioids', 'promethazine')",7
683,"('amphetamines', 'doxylamine')",7
684,"('mdma', 'opioids')",7
685,"('amphetamine', 'hydromorphone')",7
686,"('7aminoclonazepam', 'cocaine')",7
687,"('6_mam', 'diazepam')",7
688,"('hydrocodone', 'lorazepam')",7
689,"('muscle_relaxants', 'opioids')",7
690,"('dihydrocodeine', 'morphine')",7
691,"('anticonvulsants', 'codeine')",7
692,"('anticonvulsants', 'heroin_from_combo')",7
693,"('alphahydroxyalprazolam', 'benzodiazepine')",7
694,"('antidepressants', 'nicotine')",7
695,"('methamphetamine', 'phenylpropanolamine')",7
696,"('7aminoclonazepam', 'delta_9_carboxy_thc')",7
697,"('7aminoclonazepam', 'delta_9_thc')",7
698,"('amphetamines', 'opiates')",7
699,"('delta_9_carboxy_thc', 'oxycodone')",7
700,"('delta_9_carboxy_thc', 'hydrocodone')",7
701,"('cocaine', 'methadone')",6
702,"('hydromorphone', 'thc_cooh')",6
703,"('codeine', 'thc')",6
704,"('heroin_from_combo', 'thc')",6
705,"('amitriptyline', 'antidepressants')",6
706,"('7aminoclonazepam', 'methadone')",6
707,"('dextromethorphan', 'morphine')",6
708,"('nordiazapam', 'oxazepam')",6
709,"('eddp', 'oxymorphone')",6
710,"('eddp', 'nordiazapam')",6
711,"('7aminoclonazepam', 'benzoylecgonine')",6
712,"('nortramadol', 'tramadol')",6
713,"('nortramadol', 'tramadol_aggregate')",6
714,"('oxymorphone', 'thc')",6
715,"('analgesics', 'salicylates')",6
716,"('6_mam', 'eddp')",6
717,"('eddp', 'fentanyl')",6
718,"('cardiovascular', 'cocaine')",6
719,"('analgesics', 'hydromorphone')",6
720,"('antidepressants', 'caffeine')",6
721,"('antidepressants', 'norfluoxetine')",6
722,"('barbituates', 'benzodiazepine')",6
723,"('barbituates', 'fluoxetine')",6
724,"('benzodiazepine', 'caffeine')",6
725,"('fluoxetine', 'stimulants')",6
726,"('alcohols', 'hydroxyzine')",6
727,"('alcohols', 'sedatives_hypnotics')",6
728,"('amphetamines', 'metoprolol')",6
729,"('ethanol', 'hydroxyzine')",6
730,"('ethanol', 'sedatives_hypnotics')",6
731,"('analgesics', 'sedatives_hypnotics')",6
732,"('cardiovascular', 'nordiazapam')",6
733,"('cardiovascular', 'thc_cooh')",6
734,"('lorazepam', 'thc_cooh')",6
735,"('antidepressants', 'oxymorphone')",6
736,"('benzodiazepine', 'gabapentin')",6
737,"('benzoylecgonine', 'oxycodone')",6
738,"('fentanyl', 'paroxetine')",6
739,"('benzodiazepine', 'narcotics')",6
740,"('cardiovascular', 'stimulants')",6
741,"('narcotics', 'opioids')",6
742,"('narcotics', 'oxazepam')",6
743,"('oxazepam', 'stimulants')",6
744,"('stimulants', 'thc_cooh')",6
745,"('amphetamines', 'stimulants')",6
746,"('hydrocodone', 'sedatives_hypnotics')",6
747,"('paroxetine', 'sedatives_hypnotics')",6
748,"('cardiovascular', 'hydrocodone')",6
749,"('clonazepam', 'hydromorphone')",6
750,"('amphetamines', 'lorazepam')",6
751,"('antihistamines', 'carboxy_thc')",6
752,"('carboxy_thc', 'cardiovascular')",6
753,"('cardiovascular', 'doxylamine')",6
754,"('doxylamine', 'opioids')",6
755,"('clonazepam', 'oxymorphone')",6
756,"('analgesics', 'cardiovascular')",6
757,"('buprenorphine', 'opioids')",6
758,"('dextromethorphan', 'trazodone')",6
759,"('eddp', 'trazodone')",6
760,"('ephedrine', 'fentanyl')",6
761,"('otc_cold_remedies', 'trazodone')",6
762,"('opioids', 'oxcarbazepine')",6
763,"('opioids', 'trazodone')",6
764,"('oxcarbazepine', 'paroxetine')",6
765,"('nordiazapam', 'paroxetine')",6
766,"('benzodiazepine', 'gastrointestionals')",6
767,"('benzodiazepine', 'promethazine')",6
768,"('doxylamine', 'methamphetamine')",6
769,"('anticonvulsants', 'thc_aggregate')",6
770,"('antidepressants', 'metoprolol')",6
771,"('amphetamine', 'oxycodone')",6
772,"('amphetamine', 'ephedrine')",6
773,"('7aminoclonazepam', 'methamphetamine')",6
774,"('amphetamines', 'carboxy_thc')",6
775,"('lorazepam', 'oxymorphone')",6
776,"('miscellaneous', 'paroxetine')",6
777,"('oxymorphone', 'stimulants')",6
778,"('benzodiazepine', 'muscle_relaxants')",6
779,"('antihistamines', 'stimulants')",6
780,"('alphahydroxyalprazolam', 'opioids')",6
781,"('fentanyl', 'stimulants')",6
782,"('oxycodone', 'stimulants')",6
783,"('alcohols', 'amphetamine')",6
784,"('amphetamine', 'ethanol')",6
785,"('fentanyl', 'valproicacid')",6
786,"('norfentanyl', 'valproicacid')",6
787,"('diltiazem', 'fentanyl')",6
788,"('diltiazem', 'norfentanyl')",6
789,"('11_hydroxy_delta_9_thc', 'alcohols')",6
790,"('11_hydroxy_delta_9_thc', 'ethanol')",6
791,"('ephedrine', 'methamphetamine')",6
792,"('benzodiazepine', 'cotinine')",6
793,"('benzodiazepine', 'nicotine')",6
794,"('alprazolam', 'dihydrocodeine')",6
795,"('delta_9_thc', 'hydrocodone')",6
796,"('antidepressants', 'cotinine')",6
797,"('cotinine', 'nicotine')",6
798,"('delta_9_carboxy_thc', 'oxymorphone')",6
799,"('delta_9_thc', 'oxycodone')",6
800,"('diazepam', 'fentanyl')",6
801,"('acetylfetanyl', 'cocaine')",6
802,"('hydrocodone', 'thc_cooh')",5
803,"('hydromorphone', 'methadone')",5
804,"('6_mam', 'thc_cooh')",5
805,"('alcohols', 'thc_cooh')",5
806,"('benzodiazepine', 'carboxy_thc')",5
807,"('carboxy_thc', 'thc')",5
808,"('codeine', 'thc_cooh')",5
809,"('ethanol', 'thc_cooh')",5
810,"('heroin_from_combo', 'thc_cooh')",5
811,"('anticonvulsants', 'pregabalin')",5
812,"('alprazolam', 'thc_cooh')",5
813,"('alprazolam', 'aohalprazolam')",5
814,"('antihistamines', 'chloropheniramine')",5
815,"('antihistamines', 'dextromethorphan')",5
816,"('antihistamines', 'otc_cold_remedies')",5
817,"('chloropheniramine', 'opioids')",5
818,"('opioids', 'temazepam')",5
819,"('eddp', 'oxycodone')",5
820,"('6_mam', 'diphenhydramine')",5
821,"('benzodiazepine', 'diphenhydramine')",5
822,"('codeine', 'diphenhydramine')",5
823,"('diphenhydramine', 'heroin_from_combo')",5
824,"('diphenhydramine', 'morphine')",5
825,"('hydromorphone', 'thc')",5
826,"('antibiotics', 'benzodiazepine')",5
827,"('oxycodone', 'tramadol')",5
828,"('oxycodone', 'tramadol_aggregate')",5
829,"('oxymorphone', 'tramadol')",5
830,"('oxymorphone', 'tramadol_aggregate')",5
831,"('alcohols', 'salicylates')",5
832,"('ethanol', 'salicylates')",5
833,"('dextromethorphan', 'fentanyl')",5
834,"('methamphetamine', 'otc_cold_remedies')",5
835,"('antidepressants', 'benzoylecgonine')",5
836,"('benzoylecgonine', 'eddp')",5
837,"('delta_9_carboxy_thc', 'eddp')",5
838,"('clonazepam', 'cocaine')",5
839,"('antidepressants', 'aohalprazolam')",5
840,"('eddp', 'norfluoxetine')",5
841,"('eddp', 'aohalprazolam')",5
842,"('fluoxetine', 'opioids')",5
843,"('fluoxetine', 'paroxetine')",5
844,"('hydrocodone', 'norfluoxetine')",5
845,"('norfluoxetine', 'opioids')",5
846,"('norfluoxetine', 'paroxetine')",5
847,"('stimulants', 'aohalprazolam')",5
848,"('6_mam', 'sedatives_hypnotics')",5
849,"('amphetamines', 'hydroxyzine')",5
850,"('antihistamines', 'fentanyl')",5
851,"('antihistamines', 'mda')",5
852,"('codeine', 'sedatives_hypnotics')",5
853,"('heroin_from_combo', 'sedatives_hypnotics')",5
854,"('cardiovascular', 'lorazepam')",5
855,"('clonazepam', 'thc_aggregate')",5
856,"('anticonvulsants', 'barbituates')",5
857,"('oxycodone', 'paroxetine')",5
858,"('oxymorphone', 'paroxetine')",5
859,"('lorazepam', 'stimulants')",5
860,"('metoprolol', 'stimulants')",5
861,"('metoprolol', 'thc_cooh')",5
862,"('morphine', 'stimulants')",5
863,"('narcotics', 'stimulants')",5
864,"('stimulants', 'thc')",5
865,"('alprazolam', 'clonazepam')",5
866,"('amphetamine', 'stimulants')",5
867,"('barbituates', 'tramadol')",5
868,"('barbituates', 'tramadol_aggregate')",5
869,"('dextromethorphan', 'gabapentin')",5
870,"('gabapentin', 'otc_cold_remedies')",5
871,"('hydrocodone', 'tramadol')",5
872,"('hydrocodone', 'tramadol_aggregate')",5
873,"('ephedrine', 'hydrocodone')",5
874,"('ephedrine', 'morphine')",5
875,"('6_mam', 'lorazepam')",5
876,"('codeine', 'lorazepam')",5
877,"('heroin_from_combo', 'lorazepam')",5
878,"('cardiovascular', 'diphenhydramine')",5
879,"('6_mam', 'doxylamine')",5
880,"('alcohols', 'diltiazem')",5
881,"('benzodiazepine', 'doxylamine')",5
882,"('codeine', 'doxylamine')",5
883,"('diltiazem', 'doxylamine')",5
884,"('diltiazem', 'ethanol')",5
885,"('diltiazem', 'thc_aggregate')",5
886,"('doxylamine', 'heroin_from_combo')",5
887,"('doxylamine', 'morphine')",5
888,"('doxylamine', 'thc_aggregate')",5
889,"('methadone', 'paroxetine')",5
890,"('cardiovascular', 'oxycodone')",5
891,"('hydroxyzine', 'thc_aggregate')",5
892,"('amphetamine', 'clonazepam')",5
893,"('anticonvulsants', 'clonazepam')",5
894,"('anticonvulsants', 'topiramate')",5
895,"('anticonvulsants', 'trazodone')",5
896,"('antidepressants', 'chlorophenylpiperazine')",5
897,"('antidepressants', 'clonazepam')",5
898,"('antidepressants', 'topiramate')",5
899,"('benzodiazepine', 'oxcarbazepine')",5
900,"('clonazepam', 'eddp')",5
901,"('clonazepam', 'paroxetine')",5
902,"('dextromethorphan', 'topiramate')",5
903,"('hydromorphone', 'tramadol')",5
904,"('hydromorphone', 'tramadol_aggregate')",5
905,"('otc_cold_remedies', 'topiramate')",5
906,"('oxcarbazepine', 'tramadol')",5
907,"('oxcarbazepine', 'tramadol_aggregate')",5
908,"('paroxetine', 'trazodone')",5
909,"('cocaine', 'nordiazapam')",5
910,"('cocaine', 'paroxetine')",5
911,"('mda', 'nordiazapam')",5
912,"('antidepressants', 'opiates')",5
913,"('gastrointestionals', 'paroxetine')",5
914,"('morphine', 'aohalprazolam')",5
915,"('paroxetine', 'promethazine')",5
916,"('mda', 'mdma')",5
917,"('mda', 'oxymorphone')",5
918,"('anticonvulsants', 'carboxy_thc')",5
919,"('antidepressants', 'carboxy_thc')",5
920,"('antidepressants', 'thc')",5
921,"('carboxy_thc', 'paroxetine')",5
922,"('otc_cold_remedies', 'pseudoephedrine')",5
923,"('otc_cold_remedies', 'thc_aggregate')",5
924,"('7aminoclonazepam', 'mda')",5
925,"('anticonvulsants', 'miscellaneous')",5
926,"('antidepressants', 'oxazepam')",5
927,"('antidepressants', 'sertraline')",5
928,"('7aminoclonazepam', 'cardiovascular')",5
929,"('antipsycotics', 'diltiazem')",5
930,"('antipsycotics', 'methamphetamine')",5
931,"('cardiovascular', 'quetiapine')",5
932,"('diltiazem', 'quetiapine')",5
933,"('methamphetamine', 'quetiapine')",5
934,"('morphine', 'phenylpropanolamine')",5
935,"('mda', 'thc_aggregate')",5
936,"('alcohols', 'gabapentin')",5
937,"('ethanol', 'gabapentin')",5
938,"('6_mam', 'dihydrocodeine')",5
939,"('7aminoclonazepam', 'nordiazapam')",5
940,"('benzodiazepine', 'sedatives_hypnotics')",5
941,"('amphetamines', 'thc')",5
942,"('lorazepam', 'oxycodone')",5
943,"('hydromorphone', 'sedatives_hypnotics')",5
944,"('alcohols', 'nicotine')",5
945,"('ethanol', 'nicotine')",5
946,"('alprazolam', 'diazepam')",5
947,"('amphetamine', 'oxymorphone')",5
948,"('nicotine', 'opioids')",5
949,"('ephedrine', 'phenylpropanolamine')",5
950,"('alprazolam', 'stimulants')",5
951,"('caffeine', 'cotinine')",5
952,"('methamphetamine', 'opiates')",5
953,"('alcohols', 'cotinine')",5
954,"('cotinine', 'ethanol')",5
955,"('7aminoclonazepam', 'oxycodone')",5
956,"('cocaethylene', 'delta_9_carboxy_thc')",5
957,"('cocaethylene', 'fentanyl')",5
958,"('11_hydroxy_delta_9_thc', 'methamphetamine')",5
959,"('benzoylecgonine', 'thc')",4
960,"('anticonvulsants', 'duloxetine')",4
961,"('antidepressants', 'duloxetine')",4
962,"('antidepressants', 'nortriptyline')",4
963,"('antidepressants', 'pregabalin')",4
964,"('duloxetine', 'opioids')",4
965,"('opioids', 'pregabalin')",4
966,"('benzoylecgonine', 'hydromorphone')",4
967,"('carboxy_thc', 'hydromorphone')",4
968,"('6_mam', 'dextromethorphan')",4
969,"('6_mam', 'otc_cold_remedies')",4
970,"('codeine', 'dextromethorphan')",4
971,"('codeine', 'otc_cold_remedies')",4
972,"('dextromethorphan', 'heroin_from_combo')",4
973,"('heroin_from_combo', 'otc_cold_remedies')",4
974,"('diazepam', 'hydromorphone')",4
975,"('diazepam', 'oxycodone')",4
976,"('nordiazapam', 'temazepam')",4
977,"('oxazepam', 'temazepam')",4
978,"('oxymorphone', 'temazepam')",4
979,"('eddp', 'oxazepam')",4
980,"('eddp', 'temazepam')",4
981,"('amitriptyline', 'eddp')",4
982,"('antibiotics', 'eddp')",4
983,"('alcohols', 'lorazepam')",4
984,"('analgesics', 'lorazepam')",4
985,"('ethanol', 'lorazepam')",4
986,"('lorazepam', 'methadone')",4
987,"('antidepressants', 'diphenhydramine')",4
988,"('antidepressants', 'muscle_relaxants')",4
989,"('meprobamate', 'muscle_relaxants')",4
990,"('codeine', 'eddp')",4
991,"('eddp', 'heroin_from_combo')",4
992,"('antidepressants', 'lorazepam')",4
993,"('antidepressants', 'norsertraline')",4
994,"('alcohols', 'tramadol')",4
995,"('alcohols', 'tramadol_aggregate')",4
996,"('ethanol', 'tramadol')",4
997,"('ethanol', 'tramadol_aggregate')",4
998,"('benzoylecgonine', 'paroxetine')",4
999,"('delta_9_thc', 'eddp')",4
1000,"('amphetamines', 'verapamil')",4
1001,"('analgesics', 'barbituates')",4
1002,"('analgesics', 'caffeine')",4
1003,"('barbituates', 'hydrocodone')",4
1004,"('barbituates', 'hydromorphone')",4
1005,"('benzodiazepine', 'fluoxetine')",4
1006,"('caffeine', 'hydromorphone')",4
1007,"('hydromorphone', 'aohalprazolam')",4
1008,"('norfluoxetine', 'stimulants')",4
1009,"('paroxetine', 'aohalprazolam')",4
1010,"('antihistamines', 'cocaine')",4
1011,"('cardiovascular', 'sedatives_hypnotics')",4
1012,"('fentanyl', 'sedatives_hypnotics')",4
1013,"('eszopiclone', 'sedatives_hypnotics')",4
1014,"('eszopiclone', 'stimulants')",4
1015,"('alcohols', 'nordiazapam')",4
1016,"('cardiovascular', 'cocaethylene')",4
1017,"('cardiovascular', 'thc')",4
1018,"('clonazepam', 'lorazepam')",4
1019,"('cocaethylene', 'nordiazapam')",4
1020,"('cocaethylene', 'thc_cooh')",4
1021,"('ethanol', 'nordiazapam')",4
1022,"('lorazepam', 'nordiazapam')",4
1023,"('acetaminophen', 'benzodiazepine')",4
1024,"('acetaminophen', 'eddp')",4
1025,"('anticonvulsants', 'oxymorphone')",4
1026,"('barbituates', 'oxycodone')",4
1027,"('benzoylecgonine', 'hydrocodone')",4
1028,"('cardiovascular', 'miscellaneous')",4
1029,"('lorazepam', 'miscellaneous')",4
1030,"('morphine', 'oxazepam')",4
1031,"('nordiazapam', 'stimulants')",4
1032,"('hydrocodone', 'mda')",4
1033,"('amphetamine', 'otc_cold_remedies')",4
1034,"('amphetamines', 'analgesics')",4
1035,"('amphetamines', 'norfluoxetine')",4
1036,"('anticonvulsants', 'norfluoxetine')",4
1037,"('anticonvulsants', 'sedatives_hypnotics')",4
1038,"('citalopram', 'opioids')",4
1039,"('citalopram', 'stimulants')",4
1040,"('eddp', 'sedatives_hypnotics')",4
1041,"('nortramadol', 'opioids')",4
1042,"('6_mam', 'ephedrine')",4
1043,"('hydromorphone', 'verapamil')",4
1044,"('amphetamines', 'miscellaneous')",4
1045,"('antihistamines', 'clonazepam')",4
1046,"('antihistamines', 'verapamil')",4
1047,"('alcohols', 'doxylamine')",4
1048,"('carboxy_thc', 'diltiazem')",4
1049,"('carboxy_thc', 'doxylamine')",4
1050,"('doxylamine', 'ethanol')",4
1051,"('diphenhydramine', 'metoprolol')",4
1052,"('diltiazem', 'mda')",4
1053,"('antidepressants', 'buprenorphine')",4
1054,"('antidepressants', 'norfentanyl')",4
1055,"('antipsycotics', 'dextromethorphan')",4
1056,"('antipsycotics', 'eddp')",4
1057,"('antipsycotics', 'ephedrine')",4
1058,"('antipsycotics', 'otc_cold_remedies')",4
1059,"('buprenorphine', 'cardiovascular')",4
1060,"('buprenorphine', 'dextromethorphan')",4
1061,"('buprenorphine', 'norbuprenorphine')",4
1062,"('buprenorphine', 'otc_cold_remedies')",4
1063,"('cardiovascular', 'eddp')",4
1064,"('cardiovascular', 'norbuprenorphine')",4
1065,"('cardiovascular', 'trazodone')",4
1066,"('chlorophenylpiperazine', 'opioids')",4
1067,"('clonazepam', 'dextromethorphan')",4
1068,"('clonazepam', 'otc_cold_remedies')",4
1069,"('eddp', 'topiramate')",4
1070,"('ephedrine', 'otc_cold_remedies')",4
1071,"('fentanyl', 'tramadol')",4
1072,"('fentanyl', 'tramadol_aggregate')",4
1073,"('hydrocodone', 'oxcarbazepine')",4
1074,"('hydrocodone', 'trazodone')",4
1075,"('hydromorphone', 'oxcarbazepine')",4
1076,"('hydromorphone', 'trazodone')",4
1077,"('norbuprenorphine', 'opioids')",4
1078,"('norfentanyl', 'otc_cold_remedies')",4
1079,"('opioids', 'topiramate')",4
1080,"('oxcarbazepine', 'topiramate')",4
1081,"('paroxetine', 'topiramate')",4
1082,"('tramadol', 'trazodone')",4
1083,"('tramadol_aggregate', 'trazodone')",4
1084,"('carboxy_thc', 'metoprolol')",4
1085,"('antidepressants', 'mda')",4
1086,"('mda', 'paroxetine')",4
1087,"('6_mam', 'aohalprazolam')",4
1088,"('codeine', 'aohalprazolam')",4
1089,"('dextromethorphan', 'gastrointestionals')",4
1090,"('dextromethorphan', 'nordiazapam')",4
1091,"('dextromethorphan', 'promethazine')",4
1092,"('eddp', 'gastrointestionals')",4
1093,"('eddp', 'promethazine')",4
1094,"('gastrointestionals', 'nordiazapam')",4
1095,"('gastrointestionals', 'otc_cold_remedies')",4
1096,"('heroin_from_combo', 'aohalprazolam')",4
1097,"('nordiazapam', 'otc_cold_remedies')",4
1098,"('nordiazapam', 'promethazine')",4
1099,"('otc_cold_remedies', 'promethazine')",4
1100,"('methamphetamine', 'nordiazapam')",4
1101,"('mda', 'oxycodone')",4
1102,"('benzoylecgonine', 'mda')",4
1103,"('anticonvulsants', 'antihistamines')",4
1104,"('antidepressants', 'thc_cooh')",4
1105,"('antihistamines', 'paroxetine')",4
1106,"('dextromethorphan', 'thc_aggregate')",4
1107,"('metoprolol', 'paroxetine')",4
1108,"('benzoylecgonine', 'stimulants')",4
1109,"('antipsycotics', 'methadone')",4
1110,"('antipsycotics', 'cocaine')",4
1111,"('cocaine', 'quetiapine')",4
1112,"('morphine', 'tramadol')",4
1113,"('morphine', 'tramadol_aggregate')",4
1114,"('barbituates', 'miscellaneous')",4
1115,"('dextromethorphan', 'fluoxetine')",4
1116,"('fluoxetine', 'miscellaneous')",4
1117,"('fluoxetine', 'otc_cold_remedies')",4
1118,"('benzodiazepine', 'chlordiazepoxide')",4
1119,"('eddp', 'miscellaneous')",4
1120,"('hydrocodone', 'miscellaneous')",4
1121,"('hydromorphone', 'miscellaneous')",4
1122,"('paroxetine', 'sertraline')",4
1123,"('7aminoclonazepam', 'antidepressants')",4
1124,"('7aminoclonazepam', 'diltiazem')",4
1125,"('amphetamines', 'diazepam')",4
1126,"('codeine', 'diazepam')",4
1127,"('diazepam', 'heroin_from_combo')",4
1128,"('antihistamines', 'norfentanyl')",4
1129,"('alcohols', 'miscellaneous')",4
1130,"('antidepressants', 'glucose')",4
1131,"('dextromethorphan', 'glucose')",4
1132,"('dextromethorphan', 'oxymorphone')",4
1133,"('ethanol', 'miscellaneous')",4
1134,"('glucose', 'miscellaneous')",4
1135,"('glucose', 'otc_cold_remedies')",4
1136,"('glucose', 'opioids')",4
1137,"('glucose', 'paroxetine')",4
1138,"('glucose', 'stimulants')",4
1139,"('hydromorphone', 'lorazepam')",4
1140,"('otc_cold_remedies', 'oxymorphone')",4
1141,"('benzodiazepine', 'cyclobenzaprine')",4
1142,"('cyclobenzaprine', 'muscle_relaxants')",4
1143,"('cyclobenzaprine', 'opioids')",4
1144,"('7aminoclonazepam', 'dihydrocodeine')",4
1145,"('codeine', 'dihydrocodeine')",4
1146,"('dihydrocodeine', 'heroin_from_combo')",4
1147,"('anticonvulsants', 'gastrointestionals')",4
1148,"('anticonvulsants', 'nordiazapam')",4
1149,"('anticonvulsants', 'promethazine')",4
1150,"('gastrointestionals', 'stimulants')",4
1151,"('promethazine', 'stimulants')",4
1152,"('analgesics', 'metoprolol')",4
1153,"('dextromethorphan', 'oxycodone')",4
1154,"('norfentanyl', 'stimulants')",4
1155,"('otc_cold_remedies', 'oxycodone')",4
1156,"('antibiotics', 'antidepressants')",4
1157,"('antibiotics', 'paroxetine')",4
1158,"('amphetamine', 'nordiazapam')",4
1159,"('fentanyl', 'lorazepam')",4
1160,"('lorazepam', 'norfentanyl')",4
1161,"('amphetamines', 'valproicacid')",4
1162,"('6_mam', 'valproicacid')",4
1163,"('codeine', 'valproicacid')",4
1164,"('heroin_from_combo', 'valproicacid')",4
1165,"('morphine', 'valproicacid')",4
1166,"('salicylates', 'stimulants')",4
1167,"('cotinine', 'hydrocodone')",4
1168,"('cotinine', 'hydromorphone')",4
1169,"('alphahydroxyalprazolam', 'alprazolam')",4
1170,"('alprazolam', 'cotinine')",4
1171,"('caffeine', 'nicotine')",4
1172,"('delta_9_thc', 'oxymorphone')",4
1173,"('cocaethylene', 'delta_9_thc')",4
1174,"('alcohols', 'opiates')",4
1175,"('ethanol', 'opiates')",4
1176,"('delta_9_thc', 'diazepam')",4
1177,"('diazepam', 'thc_aggregate')",4
1178,"('cocaine', 'opiates')",4
1179,"('fentanyl', 'thc_cooh')",4
1180,"('fentanyl', 'phenylpropanolamine')",4
1181,"('cocaethylene', 'norfentanyl')",4
1182,"('benzoylecgonine', 'carboxy_thc')",3
1183,"('benzoylecgonine', 'thc_cooh')",3
1184,"('carboxy_thc', 'thc_cooh')",3
1185,"('amitriptyline', 'anticonvulsants')",3
1186,"('amitriptyline', 'nortriptyline')",3
1187,"('amitriptyline', 'opioids')",3
1188,"('anticonvulsants', 'nortriptyline')",3
1189,"('duloxetine', 'morphine')",3
1190,"('morphine', 'pregabalin')",3
1191,"('benzoylecgonine', 'methadone')",3
1192,"('7aminoclonazepam', 'thc_cooh')",3
1193,"('hydrocodone', 'oxazepam')",3
1194,"('methadone', 'oxazepam')",3
1195,"('oxazepam', 'thc_aggregate')",3
1196,"('hydrocodone', 'aohalprazolam')",3
1197,"('alprazolam', 'thc')",3
1198,"('diazepam', 'hydrocodone')",3
1199,"('hydromorphone', 'oxazepam')",3
1200,"('hydromorphone', 'temazepam')",3
1201,"('oxazepam', 'oxymorphone')",3
1202,"('oxycodone', 'temazepam')",3
1203,"('alcohols', 'diphenhydramine')",3
1204,"('diphenhydramine', 'ethanol')",3
1205,"('methadone', 'opiates')",3
1206,"('carboxy_thc', 'oxymorphone')",3
1207,"('antibiotics', 'opioids')",3
1208,"('alprazolam', 'eddp')",3
1209,"('antihistamines', 'hydrocodone')",3
1210,"('antihistamines', 'hydromorphone')",3
1211,"('benzodiazepine', 'salicylates')",3
1212,"('muscle_relaxants', 'trazodone')",3
1213,"('fentanyl', 'methadone')",3
1214,"('benzodiazepine', 'norsertraline')",3
1215,"('oxymorphone', 'thc_cooh')",3
1216,"('mda', 'verapamil')",3
1217,"('analgesics', 'fluoxetine')",3
1218,"('analgesics', 'naloxone')",3
1219,"('analgesics', 'norfluoxetine')",3
1220,"('analgesics', 'opioid_antagonist')",3
1221,"('analgesics', 'aohalprazolam')",3
1222,"('antidepressants', 'naloxone')",3
1223,"('antidepressants', 'opioid_antagonist')",3
1224,"('benzodiazepine', 'norfluoxetine')",3
1225,"('caffeine', 'eddp')",3
1226,"('caffeine', 'hydrocodone')",3
1227,"('caffeine', 'aohalprazolam')",3
1228,"('eddp', 'fluoxetine')",3
1229,"('fluoxetine', 'hydromorphone')",3
1230,"('hydromorphone', 'norfluoxetine')",3
1231,"('naloxone', 'opioid_antagonist')",3
1232,"('cocaine', 'metoprolol')",3
1233,"('mda', 'metoprolol')",3
1234,"('metoprolol', 'sedatives_hypnotics')",3
1235,"('acetaminophen', 'stimulants')",3
1236,"('alcohols', 'clonazepam')",3
1237,"('clonazepam', 'dihydrocodeine')",3
1238,"('clonazepam', 'ethanol')",3
1239,"('clonazepam', 'thc')",3
1240,"('cocaethylene', 'lorazepam')",3
1241,"('cocaethylene', 'thc')",3
1242,"('dihydrocodeine', 'thc_aggregate')",3
1243,"('nordiazapam', 'thc')",3
1244,"('nordiazapam', 'thc_cooh')",3
1245,"('thc_aggregate', 'verapamil')",3
1246,"('acetaminophen', 'antidepressants')",3
1247,"('acetaminophen', 'hydrocodone')",3
1248,"('acetaminophen', 'hydromorphone')",3
1249,"('acetaminophen', 'opioids')",3
1250,"('acetaminophen', 'paroxetine')",3
1251,"('acetaminophen', 'temazepam')",3
1252,"('analgesics', 'oxycodone')",3
1253,"('analgesics', 'oxymorphone')",3
1254,"('analgesics', 'temazepam')",3
1255,"('anticonvulsants', 'oxycodone')",3
1256,"('antidepressants', 'temazepam')",3
1257,"('barbituates', 'gabapentin')",3
1258,"('barbituates', 'oxymorphone')",3
1259,"('eddp', 'gabapentin')",3
1260,"('gabapentin', 'hydrocodone')",3
